# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0050142992      	8.7856176950e-12
0.0050392992      	9.2007761303e-12
0.0050642992      	8.8468878740e-12
0.0050892992      	8.9365206244e-12
0.0051142992      	1.0335611181e-11
0.0051392992      	1.0135266838e-11
0.0051642992      	9.8947051927e-12
0.0051892992      	1.0171027212e-11
0.0052142992      	9.7211876030e-12
0.0052392992      	9.2909214524e-12
0.0052642992      	8.7167124113e-12
0.0052892992      	8.3388121826e-12
0.0053142992      	7.6542196471e-12
0.0053392992      	7.6645758662e-12
0.0053642992      	7.9086604188e-12
0.0053892992      	7.4782075089e-12
0.0054142992      	7.1150921395e-12
0.0054392992      	7.3462157107e-12
0.0054642992      	8.0115783333e-12
0.0054892992      	7.9261788609e-12
0.0055142992      	7.8497499219e-12
0.0055392992      	7.8666941151e-12
0.0055642992      	7.8361910576e-12
0.0055892992      	7.9399252807e-12
0.0056142992      	7.9524588581e-12
0.0056392992      	7.9344286450e-12
0.0056642992      	7.7556193838e-12
0.0056892992      	8.0001006015e-12
0.0057142992      	8.2916673537e-12
0.0057392992      	8.8745207040e-12
0.0057642992      	9.8532242169e-12
0.0057892992      	1.0860236733e-11
0.0058142992      	1.1330810552e-11
0.0058392992      	1.1165908626e-11
0.0058642992      	1.1003958241e-11
0.0058892992      	1.0747438023e-11
0.0059142992      	1.0416154807e-11
0.0059392992      	9.7727608578e-12
0.0059642992      	8.2161701970e-12
0.0059892992      	9.5563798675e-12
0.0060142992      	8.8213526576e-12
0.0060392992      	7.7300670510e-12
0.0060642992      	7.1924414488e-12
0.0060892992      	7.3603189850e-12
0.0061142992      	7.2218474542e-12
0.0061392992      	7.7857421158e-12
0.0061642992      	7.2129183471e-12
0.0061892992      	8.0450749017e-12
0.0062142992      	7.9463743727e-12
0.0062392992      	8.3452529436e-12
0.0062642992      	7.7706155495e-12
0.0062892992      	9.8457471038e-12
0.0063142992      	9.0306404327e-12
0.0063392992      	8.8813278000e-12
0.0063642992      	8.6254606303e-12
0.0063892992      	9.0635847623e-12
0.0064142992      	8.7876046746e-12
0.0064392992      	8.9529469636e-12
0.0064642992      	8.2307213523e-12
0.0064892992      	8.3344487783e-12
0.0065142992      	8.1241955831e-12
0.0065392992      	8.5908124245e-12
0.0065642992      	9.0450012706e-12
0.0065892992      	8.0078765969e-12
0.0066142992      	9.0843213655e-12
0.0066392992      	8.0957651848e-12
0.0066642992      	9.6412325170e-12
0.0066892992      	8.4349363042e-12
0.0067142992      	9.2875472383e-12
0.0067392992      	9.2940578579e-12
0.0067642992      	9.0759734251e-12
0.0067892992      	9.7322831938e-12
0.0068142992      	8.5352686498e-12
0.0068392992      	8.1140274841e-12
0.0068642992      	8.2627948410e-12
0.0068892992      	1.0040608591e-11
0.0069142992      	7.9468668364e-12
0.0069392992      	8.3460996462e-12
0.0069642992      	8.0819034280e-12
0.0069892992      	8.3490783964e-12
0.0070142992      	8.3524053013e-12
0.0070392992      	9.0200242875e-12
0.0070642992      	8.9518778611e-12
0.0070892992      	8.9469175231e-12
0.0071142992      	8.8019652271e-12
0.0071392992      	8.6993828325e-12
0.0071642992      	9.0629793002e-12
0.0071892992      	8.8127483093e-12
0.0072142992      	8.4722761618e-12
0.0072392992      	8.8440448367e-12
0.0072642992      	9.0297048712e-12
0.0072892992      	9.1999776501e-12
0.0073142992      	9.3004141918e-12
0.0073392992      	9.2948662700e-12
0.0073642992      	8.8028993575e-12
0.0073892992      	1.0422120262e-11
0.0074142992      	8.8378178495e-12
0.0074392992      	1.0428866104e-11
0.0074642992      	1.0561688422e-11
0.0074892992      	9.3825775718e-12
0.0075142992      	9.5192025047e-12
0.0075392992      	9.3887605489e-12
0.0075642992      	1.1369122795e-11
0.0075892992      	1.0327480005e-11
0.0076142992      	9.6521548379e-12
0.0076392992      	1.0235208606e-11
0.0076642992      	9.7070609501e-12
0.0076892992      	1.0745090820e-11
0.0077142992      	8.9865812257e-12
0.0077392992      	1.0373286343e-11
0.0077642992      	8.9798423299e-12
0.0077892992      	1.0694151517e-11
0.0078142992      	8.6014936137e-12
0.0078392992      	9.3696949681e-12
0.0078642992      	1.0128465342e-11
0.0078892992      	8.5463232069e-12
0.0079142992      	9.4713567730e-12
0.0079392992      	8.1212662573e-12
0.0079642992      	9.2661215962e-12
0.0079892992      	9.5680032255e-12
0.0080142992      	9.8191138143e-12
0.0080392992      	8.1574517970e-12
0.0080642992      	7.9416180748e-12
0.0080892992      	8.4680666986e-12
0.0081142992      	8.6642164780e-12
0.0081392992      	7.8447989681e-12
0.0081642992      	9.0934794078e-12
0.0081892992      	8.1538562354e-12
0.0082142992      	9.0408577434e-12
0.0082392992      	8.1590852128e-12
0.0082642992      	1.0062220411e-11
0.0082892992      	7.4078340745e-12
0.0083142992      	1.0006543849e-11
0.0083392992      	7.3674528672e-12
0.0083642992      	1.0401695887e-11
0.0083892992      	7.8003526083e-12
0.0084142992      	1.0269844484e-11
0.0084392992      	7.3688332945e-12
0.0084642992      	9.9204240353e-12
0.0084892992      	7.0959342917e-12
0.0085142992      	6.9335226672e-12
0.0085392992      	6.8352967092e-12
0.0085642992      	6.8637078045e-12
0.0085892992      	7.1229851156e-12
0.0086142992      	7.2426171234e-12
0.0086392992      	8.1620667654e-12
0.0086642992      	9.1158922460e-12
0.0086892992      	9.7295046470e-12
0.0087142992      	8.0340897399e-12
0.0087392992      	7.7660699967e-12
0.0087642992      	7.1667403728e-12
0.0087892992      	7.6253202454e-12
0.0088142992      	7.4447619327e-12
0.0088392992      	7.3066503265e-12
0.0088642992      	7.4250814678e-12
0.0088892992      	7.3845889891e-12
0.0089142992      	7.3726216672e-12
0.0089392992      	7.3757473941e-12
0.0089642992      	6.3354422950e-12
0.0089892992      	7.0515567627e-12
0.0090142992      	6.9557772475e-12
0.0090392992      	7.4385423265e-12
0.0090642992      	6.8632678462e-12
0.0090892992      	7.5228682469e-12
0.0091142992      	7.5598059120e-12
0.0091392992      	7.9526672867e-12
0.0091642992      	7.8247964579e-12
0.0091892992      	8.5837196573e-12
0.0092142992      	8.6297486855e-12
0.0092392992      	8.8360180268e-12
0.0092642992      	8.0032769674e-12
0.0092892992      	8.5782024396e-12
0.0093142992      	7.2884051157e-12
0.0093392992      	7.5678679979e-12
0.0093642992      	6.5871743256e-12
0.0093892992      	7.4893803817e-12
0.0094142992      	6.6900698026e-12
0.0094392992      	7.0234979442e-12
0.0094642992      	6.3678945268e-12
0.0094892992      	7.5622530190e-12
0.0095142992      	5.3937887482e-12
0.0095392992      	5.3729315707e-12
0.0095642992      	4.1331283895e-12
0.0095892992      	5.7116771174e-12
0.0096142992      	2.8623738494e-12
0.0096392992      	3.1845486001e-12
0.0096642992      	2.4540164848e-12
0.0096892992      	3.7580228431e-12
0.0097142992      	2.7675433543e-12
0.0097392992      	3.9806373936e-12
0.0097642992      	1.3321871038e-12
0.0097892992      	2.0402247583e-12
0.0098142992      	1.6234137490e-12
0.0098392992      	3.0972142279e-12
0.0098642992      	8.5021802407e-13
0.0098892992      	1.1724818004e-12
0.0099142992      	9.1976450192e-13
0.0099392992      	-6.0692004028e-13
0.0099642992      	-4.3064662757e-15
0.0099892992      	-3.5958505935e-13
0.0100142992      	-4.6220025657e-13
0.0100392992      	3.2320370084e-13
0.0100642992      	-3.8954539650e-13
0.0100892992      	3.2375332697e-13
0.0101142992      	-7.4846853518e-13
0.0101392992      	-8.2567213073e-13
0.0101642992      	-6.9702690461e-13
0.0101892992      	-3.3974217076e-13
0.0102142992      	4.0420611973e-13
0.0102392992      	4.3626473792e-13
0.0102642992      	1.1533000575e-12
0.0102892992      	8.8519559148e-13
0.0103142992      	-1.3248166559e-12
0.0103392992      	1.6220333656e-14
0.0103642992      	-1.2814163191e-12
0.0103892992      	-9.2022737409e-13
0.0104142992      	-9.3133643226e-13
0.0104392992      	-1.0028191512e-12
0.0104642992      	-4.5961709831e-13
0.0104892992      	-6.6053562241e-13
0.0105142992      	-2.5452351832e-13
0.0105392992      	3.0041802244e-14
0.0105642992      	-1.1386121275e-12
0.0105892992      	-9.5478182652e-13
0.0106142992      	-1.1295537700e-12
0.0106392992      	-2.3095937589e-12
0.0106642992      	-3.5187062521e-12
0.0106892992      	-3.3472510737e-12
0.0107142992      	-3.1451999894e-12
0.0107392992      	-3.3730558028e-12
0.0107642992      	-2.6958115856e-12
0.0107892992      	-2.7458739255e-12
0.0108142992      	-2.5677270919e-12
0.0108392992      	-2.0800956198e-12
0.0108642992      	-2.0355140777e-12
0.0108892992      	-2.0174229761e-12
0.0109142992      	-2.2429759178e-12
0.0109392992      	-2.5174521561e-12
0.0109642992      	-1.6666159284e-12
0.0109892992      	-2.0693696721e-12
0.0110142992      	-2.1496343464e-12
0.0110392992      	-1.3127797833e-12
0.0110642992      	-1.4850563093e-12
0.0110892992      	-1.8320911372e-12
0.0111142992      	-2.2047267288e-12
0.0111392992      	-2.0120088059e-12
0.0111642992      	-3.4217661824e-12
0.0111892992      	-2.8347210342e-12
0.0112142992      	-3.7478163815e-12
0.0112392992      	-4.0019292583e-12
0.0112642992      	-4.9264549764e-12
0.0112892992      	-4.7770432612e-12
0.0113142992      	-4.7082101223e-12
0.0113392992      	-4.5762633769e-12
0.0113642992      	-5.5074900024e-12
0.0113892992      	-5.0753670633e-12
0.0114142992      	-5.5695062116e-12
0.0114392992      	-4.8828489156e-12
0.0114642992      	-5.9554461895e-12
0.0114892992      	-4.9579222563e-12
0.0115142992      	-6.3204379839e-12
0.0115392992      	-5.7180667256e-12
0.0115642992      	-6.3777500245e-12
0.0115892992      	-5.2807673531e-12
0.0116142992      	-6.5459899743e-12
0.0116392992      	-5.3047038731e-12
0.0116642992      	-6.3054299110e-12
0.0116892992      	-5.3489220973e-12
0.0117142992      	-6.4710953626e-12
0.0117392992      	-5.4702218588e-12
0.0117642992      	-6.3419698629e-12
0.0117892992      	-6.1375207479e-12
0.0118142992      	-6.2978098468e-12
0.0118392992      	-6.4250029874e-12
0.0118642992      	-6.5804594050e-12
0.0118892992      	-7.3377369151e-12
0.0119142992      	-8.0554044516e-12
0.0119392992      	-7.4756756427e-12
0.0119642992      	-8.2583873127e-12
0.0119892992      	-6.8547310094e-12
0.0120142992      	-6.1842203128e-12
