# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0002731025371   	p                 	-1.7799748954e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7561834379e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0002904208275   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6786231135e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0002904208275   	k                 	1.0247890371e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0376695752e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0002904208275   	omega             	1.8671510090e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368477e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0002904208275   	p                 	-1.7825684940e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7553948223e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0003077361327   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6787921832e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0003077361327   	k                 	1.0279771425e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0370065175e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0003077361327   	omega             	1.8671511257e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368486e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003077361327   	p                 	-1.7849304626e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7546932815e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0003250488946   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6789450096e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0003250488946   	k                 	1.0311940368e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0363284946e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0003250488946   	omega             	1.8671512424e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368494e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003250488946   	p                 	-1.7870293886e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7540149208e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0003423595694   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6790831814e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0003423595694   	k                 	1.0344455877e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0356356134e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0003423595694   	omega             	1.8671513590e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368502e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003423595694   	p                 	-1.7889191197e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7534308213e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0003596685799   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6792089203e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0003596685799   	k                 	1.0377419543e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0349282138e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0003596685799   	omega             	1.8671514757e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368511e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003596685799   	p                 	-1.7905673492e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7528710389e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
0.0003769763083   	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	5.6793233114e+00	(9.6492786747e-02 4.7489527196e-02 2.0149992850e-01)	1
0.0003769763083   	k                 	1.0410934774e-15	(-1.6106772650e-01 7.7951399919e-04 -3.3234951944e-02)	2	1.0342066894e+00	(9.6500009942e-02 4.2572289314e-02 1.4858471817e-01)	1
0.0003769763083   	omega             	1.8671515923e+00	(2.9762516631e-01 3.4658714611e-01 8.8011490736e-02)	2	1.6962368519e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003769763083   	p                 	-1.7920215567e+01	(-1.2088770055e-01 8.7207269197e-02 -1.2343153712e-01)	2	1.7524003615e+01	(-1.1849999990e-01 4.9071988420e-02 1.7149999995e-01)	1
