# Region type :   patch ambient_openings
# Faces           : 8098
# Area            : 2.0799987579e+00
# Scale factor    : 1.0000000000e+00
# Time            	sumMag(phi)
0.001801069508    	1.4997612099e-01
0.001817791305    	1.4997637815e-01
0.00183447163     	1.4997663548e-01
0.001851113101    	1.4997689298e-01
0.001867722048    	1.4997715065e-01
0.001884304469    	1.4997740877e-01
0.001900866271    	1.4997766795e-01
0.001917413169    	1.4997792782e-01
0.00193394188     	1.4997818828e-01
0.001950442985    	1.4997844908e-01
0.001966921398    	1.4997871021e-01
0.001983381825    	1.4997897168e-01
0.00199982916     	1.4997923377e-01
0.002016269339    	1.4997949659e-01
0.002032708298    	1.4997976042e-01
0.002049151788    	1.4998002538e-01
0.002065605408    	1.4998029156e-01
0.002082074727    	1.4998055910e-01
0.002098520977    	1.4998082737e-01
0.002114936714    	1.4998109562e-01
0.002131324904    	1.4998136377e-01
0.002147688512    	1.4998163187e-01
0.002164030862    	1.4998190009e-01
0.002180355304    	1.4998216851e-01
0.002196663729    	1.4998243723e-01
0.002212950412    	1.4998270595e-01
0.002229216489    	1.4998297469e-01
0.002245463023    	1.4998324350e-01
0.002261691007    	1.4998351254e-01
0.002277901457    	1.4998378178e-01
0.002294095359    	1.4998405118e-01
0.002310273729    	1.4998432078e-01
0.0023264376      	1.4998459065e-01
0.002342588028    	1.4998486097e-01
0.002358726095    	1.4998513157e-01
0.002374852872    	1.4998540260e-01
0.002390969453    	1.4998567409e-01
0.002407076902    	1.4998594580e-01
0.002423176265    	1.4998621912e-01
0.002439268525    	1.4998649517e-01
0.002455354641    	1.4998677153e-01
0.002471435543    	1.4998704821e-01
0.002487512061    	1.4998732519e-01
0.002503584992    	1.4998760251e-01
0.002519655077    	1.4998788001e-01
0.002535723151    	1.4998815773e-01
0.002551790074    	1.4998843582e-01
0.002567856682    	1.4998871412e-01
0.002583923808    	1.4998899278e-01
0.002599992346    	1.4998927197e-01
0.002616057141    	1.4998955148e-01
0.002632112558    	1.4998983124e-01
0.002648159965    	1.4999011114e-01
0.002664200736    	1.4999039107e-01
0.002680236251    	1.4999067028e-01
0.002696267912    	1.4999095046e-01
0.002712297179    	1.4999123467e-01
0.00272832558     	1.4999151830e-01
0.002744354575    	1.4999180259e-01
0.002760385556    	1.4999208741e-01
0.002776419747    	1.4999237259e-01
0.002792458251    	1.4999265816e-01
0.00280850207     	1.4999294403e-01
0.002824552156    	1.4999323027e-01
0.002840609302    	1.4999351674e-01
0.002856674036    	1.4999380356e-01
0.00287274669     	1.4999409029e-01
0.00288882752     	1.4999437860e-01
