element_number, cg_x, cg_y, cg_z, element_state, sensitivity_number, FI_max
1714, 7.000000000000001, 95.00000000000001, 3.0000000000000004, 1, 0.00027956523375, 0
1715, 9.0, 95.00000000000001, 3.0000000000000004, 1, 0.0009432799500000001, 0
1725, 29.0, 95.00000000000001, 3.0000000000000004, 1, 0.0006444207049999999, 0
1731, 5.0, 1.0000000000000002, 5.000000000000001, 1, 0.000185810175, 0
1732, 7.000000000000001, 1.0000000000000002, 5.000000000000001, 1, 0.00041394358750000004, 0
1733, 9.0, 1.0000000000000002, 5.000000000000001, 1, 0.0006181980499999999, 0
1734, 11.000000000000002, 1.0000000000000002, 5.000000000000001, 1, 0.0007253196375000001, 0
1735, 13.0, 1.0000000000000002, 5.000000000000001, 1, 0.0007213426125, 0
1736, 15.0, 1.0000000000000002, 5.000000000000001, 1, 0.0006492716374999999, 0
1737, 17.000000000000004, 1.0000000000000002, 5.000000000000001, 1, 0.000561255475, 0
1738, 19.000000000000004, 1.0000000000000002, 5.000000000000001, 1, 0.000487642775, 0
1739, 21.000000000000004, 1.0000000000000002, 5.000000000000001, 1, 0.00043125795, 0
1740, 23.0, 1.0000000000000002, 5.000000000000001, 1, 0.0003740014125, 0
1741, 25.000000000000004, 1.0000000000000002, 5.000000000000001, 1, 0.00029509021250000004, 0
1742, 26.999999999999996, 1.0000000000000002, 5.000000000000001, 1, 0.00020238715, 0
1743, 29.0, 1.0000000000000002, 5.000000000000001, 1, 0.00012090674125, 0
1744, 31.000000000000004, 1.0000000000000002, 5.000000000000001, 1, 6.739776624999999e-05, 0
1745, 33.0, 1.0000000000000002, 5.000000000000001, 1, 3.6166556250000006e-05, 0
1746, 35.00000000000001, 1.0000000000000002, 5.000000000000001, 1, 1.72497725e-05, 0
1749, 5.0, 3.0000000000000004, 5.000000000000001, 1, 0.00034840503750000005, 0
1750, 7.000000000000001, 3.0000000000000004, 5.000000000000001, 1, 0.00017784671249999998, 0
1751, 9.0, 3.0000000000000004, 5.000000000000001, 1, 0.0002157535975, 0
1752, 11.000000000000002, 3.0000000000000004, 5.000000000000001, 1, 0.00028835199999999997, 0
1753, 13.0, 3.0000000000000004, 5.000000000000001, 1, 0.00039676394999999995, 0
1754, 15.0, 3.0000000000000004, 5.000000000000001, 1, 0.0005019405750000001, 0
1755, 17.000000000000004, 3.0000000000000004, 5.000000000000001, 1, 0.0005541376375000001, 0
1756, 19.000000000000004, 3.0000000000000004, 5.000000000000001, 1, 0.0005415019875, 0
1757, 21.000000000000004, 3.0000000000000004, 5.000000000000001, 1, 0.00047295575, 0
1758, 23.0, 3.0000000000000004, 5.000000000000001, 1, 0.0003696243625, 0
1759, 25.000000000000004, 3.0000000000000004, 5.000000000000001, 1, 0.0002603666375, 0
1760, 26.999999999999996, 3.0000000000000004, 5.000000000000001, 1, 0.00014936731375000002, 0
1761, 29.0, 3.0000000000000004, 5.000000000000001, 1, 3.954053125e-05, 0
1762, 31.000000000000004, 3.0000000000000004, 5.000000000000001, 1, 1.8044525e-05, 0
1763, 33.0, 3.0000000000000004, 5.000000000000001, 1, 1.46512625e-05, 0
1764, 35.00000000000001, 3.0000000000000004, 5.000000000000001, 1, 2.6646335e-05, 0
1767, 5.0, 5.000000000000001, 5.000000000000001, 1, 0.0005671633624999999, 0
1768, 7.000000000000001, 5.000000000000001, 5.000000000000001, 1, 0.0002794486, 0
1769, 9.0, 5.000000000000001, 5.000000000000001, 1, 0.0005147903000000001, 0
1770, 11.000000000000002, 5.000000000000001, 5.000000000000001, 1, 0.0006397566125, 0
1771, 13.0, 5.000000000000001, 5.000000000000001, 1, 0.0009144157874999999, 0
1772, 15.0, 5.000000000000001, 5.000000000000001, 1, 0.0010750515374999998, 0
1773, 17.000000000000004, 5.000000000000001, 5.000000000000001, 1, 0.0011056036, 0
1774, 19.000000000000004, 5.000000000000001, 5.000000000000001, 1, 0.0010290235375, 0
1775, 21.000000000000004, 5.000000000000001, 5.000000000000001, 1, 0.00089038665, 0
1776, 23.0, 5.000000000000001, 5.000000000000001, 1, 0.0007327606, 0
1777, 25.000000000000004, 5.000000000000001, 5.000000000000001, 1, 0.0005644089000000001, 0
1778, 26.999999999999996, 5.000000000000001, 5.000000000000001, 1, 0.00044781479999999994, 0
1779, 29.0, 5.000000000000001, 5.000000000000001, 1, 0.00013353237375, 0
1780, 31.000000000000004, 5.000000000000001, 5.000000000000001, 1, 0.000119595085, 0
1781, 33.0, 5.000000000000001, 5.000000000000001, 1, 3.838233125e-05, 0
1782, 35.00000000000001, 5.000000000000001, 5.000000000000001, 1, 1.614698275e-05, 0
1783, 1.0000000000000002, 7.000000000000001, 5.000000000000001, 1, 2.0264285e-05, 0
1784, 3.0, 7.000000000000001, 5.000000000000001, 1, 0.0003303215625, 0
1785, 5.0, 7.000000000000001, 5.000000000000001, 1, 0.0001509517125, 0
1786, 7.000000000000001, 7.000000000000001, 5.000000000000001, 1, 0.0007494229, 0
1797, 29.0, 7.000000000000001, 5.000000000000001, 1, 0.000478289575, 0
1801, 1.0000000000000002, 9.000000000000002, 5.000000000000001, 1, 0.0010687119125, 0
1802, 3.0, 9.000000000000002, 5.000000000000001, 1, 0.00024677330375, 0
1803, 5.0, 9.000000000000002, 5.000000000000001, 1, 0.00020026502500000002, 0
1804, 7.000000000000001, 9.000000000000002, 5.000000000000001, 1, 0.00063928835, 0
1815, 29.0, 9.000000000000002, 5.000000000000001, 1, 0.0005191773875, 0
1819, 1.0000000000000002, 11.0, 5.000000000000001, 1, 0.0010101434124999999, 0
1820, 3.0, 11.0, 5.000000000000001, 1, 0.00042033885, 0
1821, 5.0, 11.0, 5.000000000000001, 1, 0.0003402718, 0
1822, 7.000000000000001, 11.0, 5.000000000000001, 1, 0.0005406331375000001, 0
1833, 29.0, 11.0, 5.000000000000001, 1, 0.0006267529, 0
1837, 1.0000000000000002, 13.0, 5.000000000000001, 1, 0.0004458249625, 0
1838, 3.0, 13.0, 5.000000000000001, 1, 0.0005187171624999999, 0
1839, 5.0, 13.0, 5.000000000000001, 1, 0.000400727975, 0
1840, 7.000000000000001, 13.0, 5.000000000000001, 1, 0.0004101100125, 0
1851, 29.0, 13.0, 5.000000000000001, 1, 0.000645575775, 0
1855, 1.0000000000000002, 14.999999999999998, 5.000000000000001, 1, 0.0003955784625, 0
1856, 3.0, 14.999999999999998, 5.000000000000001, 1, 0.00045598895, 0
1857, 5.0, 14.999999999999998, 5.000000000000001, 1, 0.000355927625, 0
1858, 7.000000000000001, 14.999999999999998, 5.000000000000001, 1, 0.00027552839999999996, 0
