# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0003642992      	omega             	1.9987941594e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361625e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003642992      	p                 	-1.9771501367e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9291102082e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0003892992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	7.5260232909e-01	(1.0050000507e-01 4.3628034963e-02 1.4857531256e-01)	1
0.0003892992      	k                 	6.4927408348e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0171973578e-02	(9.8500005452e-02 4.2572300185e-02 1.4858472062e-01)	1
0.0003892992      	omega             	1.9987114611e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0003892992      	p                 	-1.9844312360e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9371640790e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0004142992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	7.9396501217e-01	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0004142992      	k                 	6.2459337715e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0192970816e-02	(9.8500005452e-02 4.2572300185e-02 1.4858472062e-01)	1
0.0004142992      	omega             	1.9986287697e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004142992      	p                 	-1.9860269296e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9443410595e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0004392992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	8.3442671569e-01	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0004392992      	k                 	6.0332386000e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0214575595e-02	(9.8500005452e-02 4.2572300185e-02 1.4858472062e-01)	1
0.0004392992      	omega             	1.9985460851e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004392992      	p                 	-1.9927567885e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9512083632e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0004642992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	8.7390369435e-01	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0004642992      	k                 	5.8467482185e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0236788335e-02	(9.8500005452e-02 4.2572300185e-02 1.4858472062e-01)	1
0.0004642992      	omega             	1.9984634074e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
0.0004642992      	p                 	-1.9916741370e+00	(-2.1207398807e-02 9.0162452914e-02 -9.7979873685e-02)	2	9.9566601738e+00	(1.1549973211e-01 4.6107355928e-02 1.6950080735e-01)	1
0.0004892992      	mag(U)            	0.0000000000e+00	(-1.4000000060e-01 4.9258069922e-03 5.3000562546e-02)	0	9.1238797003e-01	(1.3350462904e-01 4.4838721827e-02 1.8248397230e-01)	1
0.0004892992      	k                 	5.6809264168e-07	(-1.1858665520e-01 5.5360531035e-02 9.6616182517e-03)	0	1.0259613475e-02	(9.8500005452e-02 4.2572300185e-02 1.4858472062e-01)	1
0.0004892992      	omega             	1.9983807365e+01	(-3.7825125598e-01 4.4374162605e-01 3.2800234923e-01)	2	1.6962361624e+07	(1.0291314320e-01 4.7269903838e-02 6.1879950920e-03)	3
