layer,z_mm,area_mm2,sparse_core_mm2,estimated_polymer_mm2,beyond_30deg_support_mm2
83,16.500100000000003,242.50765532755287,96.99231800666372,164.91380092222187,0.0
84,16.700100000000006,244.7925980269154,98.63141941460573,165.8874624952308,0.0
85,16.900100000000005,247.21186798403477,100.43888335662412,166.86076129873547,0.0
86,17.100100000000005,249.77263901849653,102.17257560736707,168.0345785326029,0.0
87,17.300100000000004,252.4975821370036,104.13628990101418,169.18855021619225,0.0
88,17.500100000000003,255.38612160738754,106.14914607469437,170.46680474763204,0.0
89,17.700100000000006,258.4411978448318,108.28787383710322,171.8108987751492,0.0
90,17.900100000000005,261.74396910774976,110.5982865231371,173.26533988924007,0.0
91,18.100100000000005,265.31620615101656,113.09644420101617,174.8390507902036,0.0
92,18.300100000000004,269.01095760250837,115.68212126698002,176.46526058892437,0.0
93,18.500100000000003,272.7029872343375,118.26675671220224,178.08958186457573,0.0
94,18.700100000000006,276.3911994344014,120.8488926226224,179.7120853363035,0.0
95,18.900100000000005,280.0895367233464,123.43828043298248,181.3389123769604,0.0
96,19.100100000000005,282.8640428924193,130.01208812441274,178.8543723928891,0.0
97,19.300100000000004,284.71460993212304,132.59859720437834,178.63573216862036,0.0
98,19.500100000000003,286.5637110801399,135.18501290681743,178.41570075468596,0.0
99,19.700100000000006,288.4160931864155,137.7773249252969,178.19423324617793,0.0
100,19.900100000000005,290.2739605397319,140.37326597443007,177.97534776018784,0.0
101,20.100100000000005,292.1303653984973,142.59662547445726,178.05306501893148,0.0
102,20.300100000000004,293.9781862000648,144.44357372741496,178.4233272181328,0.0
103,20.500100000000007,295.8301541906817,146.2962097476834,178.79318639253495,0.0
104,20.700100000000006,297.68548960770863,148.15149190832142,179.16429608105148,0.0
105,20.900100000000005,299.53718835134123,150.00369988909216,179.5342284400675,0.0
106,21.100100000000005,301.38689232060665,151.8547714603269,179.90307515234514,0.0
107,21.300100000000004,303.24145504819955,153.70742078842784,180.27551841745728,0.0
108,21.500100000000007,305.09713980991046,155.5618381681668,180.64766927537704,0.0
109,21.700100000000006,306.94495651448915,157.41090383126576,181.01623344947654,0.0
110,21.900100000000005,308.7934821553753,159.25936608296445,181.3859892890037,0.0
111,22.100100000000005,310.6425651771402,161.1061447326883,181.75764939098957,0.0
112,22.300100000000004,312.48411714387777,162.94777898096305,182.12589395910732,0.0
113,22.500100000000007,314.32781903235264,164.79285508672086,182.49353496297593,0.0
114,22.700100000000006,316.17983290217444,166.64555543532538,182.86338855391412,0.0
115,22.900100000000005,318.0335801190289,168.499547357489,183.23394223303768,0.0
116,23.100100000000005,319.893856838905,0.0,319.893856838905,0.0
117,23.300100000000004,321.7709801341605,0.0,321.7709801341605,0.0
118,23.500100000000007,312.866940115331,0.0,312.866940115331,0.0
119,23.700100000000006,293.43531785730255,0.0,293.43531785730255,0.0
120,23.900100000000005,274.33413072735004,0.0,274.33413072735004,0.0
