layer,z_mm,area_mm2,sparse_core_mm2,estimated_polymer_mm2,beyond_30deg_support_mm2
27,5.3001000000000005,1392.10608510756,801.1496214157879,751.1863879749295,0.0
28,5.500100000000001,1380.7147785638508,794.0001829313193,745.5146322187953,0.0
29,5.700100000000001,1370.4949138497175,787.0196384401701,740.8792030975814,0.0
30,5.9001,1361.20418919919,779.9201293048854,737.2680857552816,0.0
31,6.1001,1352.689936098146,773.0054544983855,734.2855724994376,0.0
32,6.3001000000000005,1344.8417529427766,766.6769088282493,731.500225880177,0.0
33,6.500100000000001,1337.584176596714,760.8408609229665,728.9114878583408,0.0
34,6.700100000000001,1330.8282981695402,755.3670420592549,726.5346645221363,0.0
35,6.900100000000001,1324.5399866252767,750.322568766872,724.2819316117791,0.0
36,7.100100000000001,1318.688216223402,745.6236998915834,722.1892563101352,0.0
37,7.3001000000000005,1313.2128167217966,741.2036967176715,720.2498593476594,0.0
38,7.500100000000001,1308.0905517230262,737.0926353130438,718.4164434725911,0.0
39,7.700100000000001,1303.2732820790638,725.7795400188309,722.6496500639992,0.0
40,7.900100000000001,1298.7981393462862,719.2492474478289,723.398741388023,0.0
41,8.100100000000001,1294.5802473734354,713.7036175733806,723.617353314731,0.0
42,8.3001,1290.655586446656,708.8683650218053,723.5608944292117,0.0
43,8.500100000000002,1286.9265108596228,704.4671854463002,723.3527625025827,0.0
44,8.7001,1264.958989063809,700.5297659419779,704.5351763102267,0.0
45,8.900100000000002,1254.2874326772276,696.6969208930069,696.929895962822,0.0
46,9.100100000000001,1245.87343440278,692.1205223239865,692.1770165435909,0.0
47,9.3001,1238.7379461771716,688.1090546292709,688.2507024737548,0.0
48,9.500100000000002,1232.5016495684608,684.5757916089082,684.8410162813343,0.0
49,9.7001,1227.0437304475088,681.392894336222,681.9294149785312,0.0
50,9.900100000000002,1222.2413692116831,678.6055053075988,679.3569649656041,0.0
51,10.100100000000001,1217.9673143343837,676.0758050675092,677.1066702803763,0.0
52,10.300100000000002,1214.2319213848918,673.9084877282694,675.1051312022763,0.0
53,10.500100000000002,1210.9734532825994,671.9930189223248,673.3790381447395,0.0
54,10.7001,1208.1867754596515,670.3856991171757,671.8782161659109,0.0
55,10.900100000000002,1205.8193821505906,668.9893454480099,670.6279057921827,0.0
56,11.100100000000001,1203.8595080674065,667.8643054951593,669.568063671279,0.0
57,11.300100000000002,1202.349191066666,666.9881254080743,668.7586907402065,0.0
58,11.500100000000002,1201.180339466924,666.3112329169549,668.13135313336,0.0
59,11.7001,1200.454985836637,665.8992765275648,667.7355646145851,0.0
60,11.900100000000002,1200.0502547007043,665.6393852762903,667.538746479672,0.0
61,12.100100000000001,1200.0912166077119,665.6874575945936,667.541250532037,0.0
62,12.300100000000002,1200.4653915652889,665.8921336886527,667.7516846143667,0.0
63,12.500100000000002,1201.2365702179866,666.3513055232136,668.1555257994157,0.0
64,12.700100000000003,1202.3794048534594,666.9972971402442,668.781567141264,0.0
65,12.900100000000002,1203.9356817021135,667.9134331670272,669.6049351684917,0.0
66,13.100100000000001,1205.9267039330655,669.0753860297846,670.6663951092378,0.0
67,13.300100000000002,1208.3046759099702,670.4704423793272,671.9283220065084,0.0
68,13.500100000000002,1211.1601353301126,672.1480326184446,673.4417092353568,0.0
69,13.700100000000003,1214.3999151851622,674.0404672854241,675.1675413568229,0.0
70,13.900100000000002,1218.090797884759,676.2435604717353,677.0959495073707,0.0
71,14.100100000000003,1221.916825779592,678.5382635024322,679.0862149776463,0.0
72,14.300100000000002,1226.0521483735258,681.1145134137263,681.1605376425448,0.0
73,14.500100000000002,1230.3438223554463,683.7989386217984,683.3046714580075,0.0
74,14.700100000000003,1234.9213488268792,686.734825555271,685.5334883826624,0.0
75,14.900100000000002,1239.6519988305015,689.7700918794288,687.8359253269584,0.0
76,15.100100000000003,1244.638954377682,74.98316610066419,1184.6524214971507,0.0
77,15.300100000000002,1249.8004789232086,77.20667553803226,1188.0351384927828,0.0
78,15.500100000000002,1226.8472347015274,79.59766264296127,1163.1691045871585,0.0
79,15.700100000000003,1170.8639180353878,82.05818691143281,1105.2173685062414,0.0
80,15.900100000000002,1114.3546612815305,84.61501463562101,1046.6626495730338,0.0
81,16.100100000000005,228.33226053563703,87.20112932296905,158.57135707726178,0.0
82,16.300100000000004,232.02576837105346,89.78669935774131,160.1964088848604,0.0
83,16.500100000000003,235.71498774816922,92.3700562555147,161.81894274375748,0.0
84,16.700100000000006,239.4077197551174,94.95363941659133,163.4448082218443,0.0
85,16.900100000000005,243.09713478710154,97.53518287630999,165.06898848605354,0.0
86,17.100100000000005,246.78280777028777,100.11398668897786,166.69161841910548,0.0
87,17.300100000000004,250.47862955845653,102.70140251567804,168.3175075459141,0.0
88,17.500100000000003,254.17963367541063,105.29415137922331,169.94431257203198,0.0
89,17.700100000000006,257.8695462969781,107.87556163309772,171.56909699049993,0.0
90,17.900100000000005,261.5555437349647,110.45433749294452,173.1920737406091,0.0
91,18.100100000000005,265.2452119298267,113.03620518243297,174.81624778388033,0.0
92,18.300100000000004,268.94125151836704,115.6222851036079,176.44342343548072,0.0
93,18.500100000000003,272.6356249896996,118.20832464753009,178.0689652716755,0.0
94,18.700100000000006,276.32913694778966,120.79431289404646,179.6936866325525,0.0
95,18.900100000000005,280.0238115704642,123.38159513931416,181.31853545901288,0.0
96,19.100100000000005,282.79411123683076,129.95270069593425,178.83195068008337,0.0
97,19.300100000000004,284.6474487561567,132.54084940075472,178.6147692355529,0.0
98,19.500100000000003,286.49832125333614,135.12704125198033,178.39668825175187,0.0
99,19.700100000000006,288.3558073875178,137.72294427426039,178.1774519681095,0.0
100,19.900100000000005,290.2275407744515,140.33170954892665,177.96217313531014,0.0
101,20.100100000000005,292.09818455800354,142.56815170289892,178.04366319568442,0.0
102,20.300100000000004,293.95021064533677,144.41986225890315,178.41432083821422,0.0
103,20.500100000000007,295.8031568313075,146.27379020186396,178.78412466981632,0.0
104,20.700100000000006,297.6576295797499,148.1286715637404,179.15469232875756,0.0
105,20.900100000000005,299.5087647913425,149.9799014925828,179.5248435972763,0.0
106,21.100100000000005,301.3581433434083,151.83078092309623,179.89351860493133,0.0
107,21.300100000000004,303.21513457994706,153.68601267628313,180.26632443892055,0.0
108,21.500100000000007,305.07529068707646,155.5448744805762,180.6393911026155,0.0
109,21.700100000000006,306.92723789467345,157.39807641554575,181.00877676223683,0.0
110,21.900100000000005,308.77950165881134,159.2502671603556,181.37928793052686,0.0
111,22.100100000000005,310.6319304240616,161.10031849949303,181.75167562446714,0.0
112,22.300100000000004,312.47643575451764,162.9445383494804,182.12080507493332,0.0
113,22.500100000000007,314.3226728147738,164.79136434432263,182.4895813393157,0.0
114,22.700100000000006,316.1767199197524,166.64504143996038,182.86068676778407,0.0
115,22.900100000000005,318.0319920110443,168.4994045078608,183.23246840475565,0.0
116,23.100100000000005,319.89328524463775,0.0,319.89328524463775,0.0
117,23.300100000000004,321.7709166928911,0.0,321.7709166928911,0.0
118,23.500100000000007,312.866940115331,0.0,312.866940115331,0.0
119,23.700100000000006,293.43531785730255,0.0,293.43531785730255,0.0
120,23.900100000000005,274.33413072735004,0.0,274.33413072735004,0.0
